product_id,category,subcategory,product_name,price,inventory_level
1,Activity,Swimming,Swimming Mechanism,13.99,189
2,Pets,Aquarium,Aquarium Mechanism,92.95,7
3,Health,First Aid,First Aid Doodad,189,160
4,Electronics,Technology,Technology Accessory,28.95,106
5,Activity,Biking,Biking Tool,85.99,181
6,Health,Medicine,Medicine Accessory,127.95,190
7,Automotive,Truck,Truck Device,110.95,107
8,Health,Nutrition,Nutrition Item,62.95,163
9,Automotive,Car,Car Attachment,103.95,119
10,Entertainment,Game,Game G      izmo,176.99,96
11,Activity,Sports,Sports Paraphernalia,39,35
12,Pets,Aquarium,Aquarium Device,33.99,220
13,Health,Nutrition,Nutrition Machine,181,47
14,Clothing,Jewelry,Jewelry Component,181.95,146
15,Beauty,Hair Care,Hair Care Gadget,120.95,21
16,Clothing,Baby,Baby Component,33,41
17,Health,First Aid,First Aid Contraption,186.99,106
7,Automotive,Truck,Truck Device,110.95,107
19,Clothing,Mens,Mens Machine,137.95,97
20,Entertainment,Movie,Movie Attachment,121,28
21,Electronics,Technology,Technology Mechanism,106.99,11
22,Home,Gardening,Gardening Rig,164,196
23,Activity,Camping,Camping Tool,168.99,142
24,Health,First Aid,First Aid Whatchamacallit,115.95,140
25,Activity,Beach,Beach Gear,141,101
26,Activity,Biking,Biking Accessory,34.99,225
27,Health,Medicine,Medicine Gear,86,202
28,Home,Home Improvement,Home Improvement Widget,56,149
29,Clothing,Jewelry,Jewelry Widget,177,65
30,Electronics,Technology,Technology Gear,197.99,211
31,Pets,Cat,Cat Gizmo,37.99,158
32,Electronics,Technology,Technology Equipment,21.95,211
33,Entertainment,Movie,Movie Kit,60.95,117
34,Entertainment,Game,Game Device,48,6
35,Automotive,Engine,Engine Whatchamacallit,101.95,27
36,Home,Storage,Storage Implement,44.99,236
37,Entertainment,Toy,Toy Apparatus,104,180
38,Activity,Fitness,Fitness Accessory,11.99,253
39,Home,Bedding,Bedding Mechanism,108.95,42
40,Activity,Beach,Beach Widget,177.95,16
41,Activity,Swimming,Swimming Apparatus,20,83
42,Home,Home Improvement,Home Improvement Widget,27.99,150
43,Home,Home Improvement,Home Improvement Item,117,200
44,Activity,Sports,Sports Supplies,189.95,213
45,Home,Cooking,Cooking Attachment,152,119
46,Beauty,Personal,Personal Item,72,248
47,Home,Bedding,Bedding Instrument,79.99,38
48,Electronics,Technology,Technology Widget,66.99,151
49,Beauty,Personal,Personal Accessory,117.95,0
50,Entertainment,Party,Party Paraphernalia,40,54
51,Activity,Biking,Biking Mechanism,12.95,161
7,Automotive,Truck,Truck Device,110.95,107
53,Activity,Sports,Sports Gear,167.95,36
54,Health,First Aid,First Aid Equipment,187.99,118
55,Activity,Biking,Biking Instrument,192,5
56,Electronics,Technology,Technology Kit,60,254
57,Clothing,Womens,Womens Widget,127.95,23
58,Pets,Cat,Cat Apparatus,143.95,41
59,Home,Home Improvement,Home Improvement Implement,100,138
60,Home,Dining,Dining Thingamajig,184.95,222
61,Clothing,Jewelry,Jewelry Mechanism,71.95,49
62,Clothing,Mens,Mens Doodad,17.95,16
63,Automotive,Tire,Tire Mechanism,162,246
64,Electronics,Camera,Camera Thingamajig,92.95,50
65,Clothing,Mens,Mens Item,54.95,152
66,Home,Storage,Storage Component,131.95,120
67,Entertainment,Game,Game Contraption,168.99,78
68,Home,Cleaning,Cleaning Gadget,158.95,152
69,Entertainment,Movie,Movie Supplies,147.95,243
70,Home,Furniture,Furniture Gizmo,161,108
71,Automotive,Tire,Tire Whatchamacallit,83,44
72,Entertainment,Party,Party Paraphernalia,45.95,51
73,Home,Bedding,Bedding Kit,15.99,105
74,Health,Nutrition,Nutrition Device,157.99,39
75,Automotive,Car,Car Thingamajig,23.99,86
76,Home,Cooking,Cooking Paraphernalia,30.99,246
77,Clothing,Baby,Baby Component,166.99,81
78,Activity,Outdoors,Outdoors Machine,93,152
79,Beauty,Makeup,Makeup Doodad,90.95,181
80,Activity,Swimming,Swimming Doodad,34.99,236
81,Health,Nutrition,Nutrition Doodad,11,12
82,Entertainment,Music,Music Gear,187.95,182
83,Home,Cleaning,Cleaning Supplies,190,109
84,Electronics,Computer,Computer Apparatus,159,138
85,Home,Furniture,Furniture Supplies,124,133
86,Home,Gardening,Gardening Doodad,57.99,24
87,Home,Cooking,Cooking Rig,61,83
88,Activity,Beach,Beach Gadget,26.99,181
89,Health,Nutrition,Nutrition Contraption,39.95,76
90,Activity,Swimming,Swimming Supplies,87.99,100
91,Home,Cooking,Cooking Mechanism,83.95,5
92,Health,Vitamin,Vitamin Equipment,38.99,52
93,Activity,Camping,Camping Component,24,183
94,Automotive,Engine,Engine Contraption,151,105
95,Home,Dining,Dining Apparatus,14.95,135
96,Pets,Cat,Cat Supplies,106.99,65
97,Activity,Beach,Beach Instrument,32,132
98,Clothing,Baby,Baby Machine,49.99,221
99,Clothing,Kids,Kids Apparatus,68.95,169
100,Electronics,Phone,Phone Implement,134,234
101,Activity,Fitness,Fitness Instrument,179.99,124
102,Pets,Cat,Cat Implement,15,80
7,Automotive,Truck,Truck Device,110.95,107
104,Beauty,Makeup,Makeup Whatchamacallit,92,141
105,Automotive,Engine,Engine Tool,196.99,200
106,Beauty,Skin Care,Skin Care Gadget,134.99,114
107,Clothing,Jewelry,Jewelry Paraphernalia,138,58
108,Activity,Swimming,Swimming Equipment,118.99,70
109,Health,Vitamin,Vitamin Mechanism,163.95,183
110,Pets,Cat,Cat Whatchamacallit,87,194
111,Clothing,Jewelry,Jewelry Component,133,25
112,Activity,Fitness,Fitness Implement,126.95,38
113,Activity,Swimming,Swimming Doodad,15.99,122
114,Home,Storage,Storage Instrument,16.99,17
115,Activity,Outdoors,Outdoors Implement,26,193
116,Pets,Dog,Dog Equipment,43.99,124
117,Clothing,Baby,Baby Rig,83.95,238
118,Entertainment,Game,Game Supplies,181.99,201
119,Home,Cleaning,Cleaning Gear,148.99,255
120,Health,Vitamin,Vitamin Accessory,197,217
121,Activity,Beach,Beach Mechanism,124.99,110
122,Health,First Aid,First Aid Attachment,84.95,227
123,Activity,Swimming,Swimming Tool,197,197
124,Beauty,Skin Care,Skin Care Gadget,155.99,162
125,Clothing,Womens,Womens Kit,144,3
126,Entertainment,Toy,Toy Accessory,183.95,123
127,Home,Bedding,Bedding Mechanism,156.95,36
128,Clothing,Kids,Kids Gear,145.99,15
129,Home,Cooking,Cooking Machine,193.99,160
130,Entertainment,Toy,Toy Item,190.99,238
131,Activity,Beach,Beach Apparatus,182.99,25
132,Automotive,Tire,Tire Thingamajig,175.99,246
133,Beauty,Personal,Personal Equipment,43.99,193
134,Clothing,Mens,Mens Kit,122.99,20
135,Pets,Cat,Cat Implement,68.99,9
136,Pets,Dog,Dog Equipment,98.99,36
137,Automotive,Truck,Truck Accessory,147.99,14
138,Clothing,Kids,Kids Instrument,93.99,210
139,Activity,Camping,Camping Thingamajig,160.99,111
140,Electronics,Technology,Technology Gizmo,186.99,155
141,Health,First Aid,First Aid Instrument,40.95,86
142,Entertainment,Game,Game Device,81.95,189
143,Electronics,Camera,Camera Mechanism,175.95,129
144,Beauty,Hair Care,Hair Care Instrument,11,135
145,Automotive,Truck,Truck Widget,90.95,50
146,Home,Furniture,Furniture Component,69.95,204
147,Entertainment,Movie,Movie Doodad,197.99,192
148,Home,Dining,Dining Paraphernalia,187.95,15
149,Home,Dining,Dining Rig,107.99,227
150,Automotive,Truck,Truck Attachment,38,175
151,Activity,Biking,Biking Widget,105,113
152,Beauty,Skin Care,Skin Care Component,113,48
153,Entertainment,Movie,Movie Supplies,196.95,132
154,Clothing,Baby,Baby Thingamajig,190,166
155,Clothing,Baby,Baby Gear,77,175
156,Automotive,Engine,Engine Item,124.95,42
157,Beauty,Bath,Bath Doodad,171,79
158,Electronics,Camera,Camera Gizmo,109.99,63
159,Home,Dining,Dining Apparatus,158.99,115
160,Clothing,Kids,Kids Contraption,152.99,100
161,Entertainment,Toy,Toy Instrument,17.95,178
162,Entertainment,Game,Game Attachment,17.95,66
163,Entertainment,Music,Music Doodad,32,27
7,Automotive,Truck,Truck Device,110.95,107
165,Entertainment,Toy,Toy Gizmo,140.95,107
166,Home,Storage,Storage Apparatus,14.95,124
167,Home,Storage,Storage Component,199.99,9
168,Home,Storage,Storage Accessory,157.99,75
169,Beauty,Personal,Personal Accessory,68,69
170,Beauty,Skin Care,Skin Care Implement,172.99,37
171,Entertainment,Toy,Toy Attachment,194.99,130
172,Activity,Fitness,Fitness Attachment,35.99,166
173,Automotive,Tire,Tire Gizmo,46,38
174,Home,Cleaning,Cleaning Implement,190.95,173
175,Clothing,Jewelry,Jewelry Implement,106.95,191
176,Activity,Outdoors,Outdoors Implement,193.99,81
177,Health,Nutrition,Nutrition Implement,44.99,237
178,Health,Medicine,Medicine Instrument,90.99,230
179,Beauty,Makeup,Makeup Rig,59.99,1
180,Pets,Cat,Cat Doodad,62.95,112
181,Pets,Cat,Cat Gear,115.99,225
182,Activity,Biking,Biking Item,179,116
183,Home,Cooking,Cooking Paraphernalia,98.99,29
184,Health,Medicine,Medicine Paraphernalia,156,8
185,Activity,Sports,Sports Item,81,57
186,Health,Medicine,Medicine Gadget,68.99,137
187,Activity,Swimming,Swimming Mechanism,148,246
188,Beauty,Skin Care,Skin Care Contraption,141.95,105
189,Electronics,Phone,Phone Attachment,42,9
190,Activity,Swimming,Swimming Doodad,134,133
191,Activity,Sports,Sports Kit,62.95,184
192,Activity,Camping,Camping Apparatus,24.99,69
193,Home,Cleaning,Cleaning Kit,154,162
194,Health,Vitamin,Vitamin Thingamajig,188.95,21
195,Health,Medicine,Medicine Equipment,64,75
196,Beauty,Skin Care,Skin Care Whatchamacallit,70,233
197,Pets,Cat,Cat Gadget,77.95,91
198,Activity,Camping,Camping Paraphernalia,134.99,150
7,Automotive,Truck,Truck Device,110.95,107
200,Activity,Sports,Sports Implement,64,108
201,Home,Cleaning,Cleaning Whatchamacallit,112.99,149
202,Electronics,Technology,Technology Doodad,24.95,35
203,Home,Bedding,Bedding Paraphernalia,82.99,162
204,Health,Vitamin,Vitamin Gear,21.99,146
205,Home,Storage,Storage Rig,74,211
206,Electronics,Phone,Phone Doodad,56,174
207,Electronics,Computer,Computer Gear,92.95,163
208,Entertainment,Party,Party Accessory,118,94
209,Clothing,Kids,Kids Thingamajig,19,19
210,Activity,Beach,Beach Equipment,98.95,228
211,Pets,Cat,Cat Item,182.99,97
212,Beauty,Hair Care,Hair Care Component,164,126
213,Electronics,Computer,Computer Gadget,189.95,37
214,Entertainment,Toy,Toy Paraphernalia,159.95,100
215,Home,Furniture,Furniture Widget,161,25
216,Health,Medicine,Medicine Mechanism,117.99,77
