,product_id,category,subcategory,product_name,price,inventory_level
0,1,Activity,Swimming,Swimming Mechanism,13.99,189
1,2,Pets,Aquarium,Aquarium Mechanism,92.95,7
2,3,Health,First Aid,First Aid Doodad,189.0,160
3,4,Electronics,Technology,Technology Accessory,28.95,106
4,5,Activity,Biking,Biking Tool,85.99,181
5,6,Health,Medicine,Medicine Accessory,127.95,190
6,7,Automotive,Truck,Truck Device,110.95,107
7,8,Health,Nutrition,Nutrition Item,62.95,163
8,9,Automotive,Car,Car Attachment,103.95,119
9,10,Entertainment,Game,Game G      izmo,176.99,96
10,11,Activity,Sports,Sports Paraphernalia,39.0,35
11,12,Pets,Aquarium,Aquarium Device,33.99,220
12,13,Health,Nutrition,Nutrition Machine,181.0,47
13,14,Clothing,Jewelry,Jewelry Component,181.95,146
14,15,Beauty,Hair Care,Hair Care Gadget,120.95,21
15,16,Clothing,Baby,Baby Component,33.0,41
16,17,Health,First Aid,First Aid Contraption,186.99,106
18,19,Clothing,Mens,Mens Machine,137.95,97
19,20,Entertainment,Movie,Movie Attachment,121.0,28
20,21,Electronics,Technology,Technology Mechanism,106.99,11
21,22,Home,Gardening,Gardening Rig,164.0,196
22,23,Activity,Camping,Camping Tool,168.99,142
23,24,Health,First Aid,First Aid Whatchamacallit,115.95,140
24,25,Activity,Beach,Beach Gear,141.0,101
25,26,Activity,Biking,Biking Accessory,34.99,225
26,27,Health,Medicine,Medicine Gear,86.0,202
27,28,Home,Home Improvement,Home Improvement Widget,56.0,149
28,29,Clothing,Jewelry,Jewelry Widget,177.0,65
29,30,Electronics,Technology,Technology Gear,197.99,211
30,31,Pets,Cat,Cat Gizmo,37.99,158
31,32,Electronics,Technology,Technology Equipment,21.95,211
32,33,Entertainment,Movie,Movie Kit,60.95,117
33,34,Entertainment,Game,Game Device,48.0,6
34,35,Automotive,Engine,Engine Whatchamacallit,101.95,27
35,36,Home,Storage,Storage Implement,44.99,236
36,37,Entertainment,Toy,Toy Apparatus,104.0,180
37,38,Activity,Fitness,Fitness Accessory,11.99,253
38,39,Home,Bedding,Bedding Mechanism,108.95,42
39,40,Activity,Beach,Beach Widget,177.95,16
40,41,Activity,Swimming,Swimming Apparatus,20.0,83
41,42,Home,Home Improvement,Home Improvement Widget,27.99,150
42,43,Home,Home Improvement,Home Improvement Item,117.0,200
43,44,Activity,Sports,Sports Supplies,189.95,213
44,45,Home,Cooking,Cooking Attachment,152.0,119
45,46,Beauty,Personal,Personal Item,72.0,248
46,47,Home,Bedding,Bedding Instrument,79.99,38
47,48,Electronics,Technology,Technology Widget,66.99,151
48,49,Beauty,Personal,Personal Accessory,117.95,0
49,50,Entertainment,Party,Party Paraphernalia,40.0,54
50,51,Activity,Biking,Biking Mechanism,12.95,161
52,53,Activity,Sports,Sports Gear,167.95,36
53,54,Health,First Aid,First Aid Equipment,187.99,118
54,55,Activity,Biking,Biking Instrument,192.0,5
55,56,Electronics,Technology,Technology Kit,60.0,254
56,57,Clothing,Womens,Womens Widget,127.95,23
57,58,Pets,Cat,Cat Apparatus,143.95,41
58,59,Home,Home Improvement,Home Improvement Implement,100.0,138
59,60,Home,Dining,Dining Thingamajig,184.95,222
60,61,Clothing,Jewelry,Jewelry Mechanism,71.95,49
61,62,Clothing,Mens,Mens Doodad,17.95,16
62,63,Automotive,Tire,Tire Mechanism,162.0,246
63,64,Electronics,Camera,Camera Thingamajig,92.95,50
64,65,Clothing,Mens,Mens Item,54.95,152
65,66,Home,Storage,Storage Component,131.95,120
66,67,Entertainment,Game,Game Contraption,168.99,78
67,68,Home,Cleaning,Cleaning Gadget,158.95,152
68,69,Entertainment,Movie,Movie Supplies,147.95,243
69,70,Home,Furniture,Furniture Gizmo,161.0,108
70,71,Automotive,Tire,Tire Whatchamacallit,83.0,44
71,72,Entertainment,Party,Party Paraphernalia,45.95,51
